temperature,rainfall,soil_type,crop
19,210,3,Wheat
36,134,3,Rice
20,87,2,Cotton
31,129,3,Maize
25,229,3,Wheat
36,127,3,Maize
26,158,1,Rice
29,171,3,Rice
29,247,3,Wheat
21,169,3,Rice
18,123,2,Maize
20,199,1,Wheat
22,235,2,Wheat
28,165,3,Rice
22,229,3,Wheat
29,179,1,Rice
31,195,1,Wheat
30,182,3,Wheat
28,141,1,Rice
33,235,3,Wheat
27,91,1,Cotton
29,128,2,Maize
29,173,3,Rice
35,155,1,Rice
18,237,1,Wheat
28,139,3,Rice
35,136,1,Rice
30,77,1,Cotton
29,148,2,Rice
35,123,2,Maize
18,84,2,Cotton
23,228,2,Wheat
21,238,2,Wheat
23,161,1,Rice
21,205,3,Wheat
29,162,1,Rice
21,85,3,Cotton
20,162,1,Rice
36,83,1,Cotton
34,80,1,Cotton
34,159,1,Rice
36,126,3,Maize
30,248,3,Wheat
35,103,1,Maize
23,163,2,Rice
18,205,2,Wheat
29,164,3,Rice
31,221,3,Wheat
20,193,3,Wheat
18,241,2,Wheat
19,113,1,Maize
30,219,2,Wheat
33,123,2,Maize
30,114,2,Maize
20,128,3,Maize
36,167,3,Rice
35,99,2,Cotton
35,166,2,Rice
22,165,2,Rice
32,157,3,Rice
33,182,3,Wheat
28,234,2,Wheat
22,149,3,Rice
36,95,2,Cotton
28,147,2,Rice
27,202,3,Wheat
23,208,1,Wheat
30,249,2,Wheat
22,93,3,Cotton
28,175,1,Rice
27,202,1,Wheat
21,172,1,Rice
34,207,2,Wheat
24,148,3,Rice
27,172,1,Rice
25,80,2,Cotton
30,112,1,Maize
33,171,2,Rice
21,140,1,Rice
33,76,1,Cotton
18,156,1,Rice
22,99,3,Cotton
34,241,1,Wheat
18,144,2,Rice
21,125,1,Maize
25,174,1,Rice
25,84,3,Cotton
36,219,3,Wheat
19,226,3,Wheat
22,211,1,Wheat
31,163,1,Rice
29,159,3,Rice
35,158,3,Rice
34,138,2,Rice
34,107,2,Maize
20,72,1,Cotton
20,246,1,Wheat
33,171,2,Rice
28,185,3,Wheat
22,228,1,Wheat
27,80,1,Cotton
27,127,1,Maize
36,121,1,Maize
31,228,2,Wheat
24,133,1,Rice
35,109,1,Maize
28,169,2,Rice
35,174,2,Rice
18,178,1,Rice
36,152,2,Rice
35,138,1,Rice
26,158,1,Rice
25,237,1,Wheat
24,207,3,Wheat
18,201,1,Wheat
19,164,1,Rice
22,130,3,Maize
18,77,1,Cotton
32,207,3,Wheat
28,171,1,Rice
34,152,3,Rice
22,205,1,Wheat
35,145,2,Rice
35,146,3,Rice
29,218,2,Wheat
36,148,3,Rice
34,135,3,Rice
28,229,1,Wheat
20,127,3,Maize
27,209,2,Wheat
33,198,2,Wheat
24,201,3,Wheat
23,237,1,Wheat
36,213,1,Wheat
19,74,3,Cotton
28,78,3,Cotton
31,189,3,Wheat
20,107,3,Maize
28,88,2,Cotton
33,149,1,Rice
26,114,3,Maize
20,250,2,Wheat
36,142,1,Rice
27,190,1,Wheat
31,79,2,Cotton
28,122,2,Maize
34,217,3,Wheat
30,230,2,Wheat
23,119,1,Maize
22,98,1,Cotton
25,190,3,Wheat
29,111,3,Maize
35,247,2,Wheat
30,195,2,Wheat
28,133,1,Rice
32,87,3,Cotton
29,84,1,Cotton
34,171,2,Rice
21,153,3,Rice
32,116,1,Maize
28,174,3,Rice
31,166,2,Rice
18,128,2,Maize
23,241,1,Wheat
36,155,3,Rice
22,205,3,Wheat
25,92,1,Cotton
19,205,1,Wheat
30,136,2,Rice
30,153,2,Rice
18,190,2,Wheat
19,186,2,Wheat
24,121,3,Maize
22,250,3,Wheat
36,106,2,Maize
22,144,1,Rice
22,171,1,Rice
33,186,3,Wheat
24,201,1,Wheat
19,191,1,Wheat
31,96,1,Cotton
24,128,2,Maize
24,163,1,Rice
19,140,2,Rice
26,211,2,Wheat
35,207,3,Wheat
33,121,1,Maize
20,175,3,Rice
21,99,2,Cotton
26,179,2,Rice
33,128,3,Maize
31,187,2,Wheat
31,247,2,Wheat
26,137,2,Rice
30,178,2,Rice
33,139,3,Rice
20,242,3,Wheat
26,217,1,Wheat
34,147,1,Rice
33,137,1,Rice
18,121,3,Maize
28,132,3,Rice
21,231,2,Wheat
34,210,2,Wheat
23,157,1,Rice
36,70,2,Cotton
22,229,2,Wheat
25,115,1,Maize
31,160,3,Rice
32,122,2,Maize
18,191,1,Wheat
20,143,2,Rice
27,91,3,Cotton
33,222,2,Wheat
27,190,3,Wheat
21,109,2,Maize
21,138,1,Rice
35,184,1,Wheat
26,129,3,Maize
35,167,3,Rice
19,237,3,Wheat
32,169,3,Rice
25,189,2,Wheat
18,180,1,Rice
18,163,3,Rice
31,193,2,Wheat
33,200,1,Wheat
23,197,3,Wheat
21,164,3,Rice
27,244,1,Wheat
36,132,3,Rice
25,217,3,Wheat
24,207,2,Wheat
32,228,2,Wheat
20,119,2,Maize
26,102,2,Maize
27,126,1,Maize
18,163,1,Rice
34,125,2,Maize
28,180,1,Rice
25,241,2,Wheat
24,171,1,Rice
25,161,2,Rice
19,225,1,Wheat
34,195,1,Wheat
22,194,2,Wheat
34,185,1,Wheat
29,89,3,Cotton
32,86,1,Cotton
19,174,1,Rice
25,237,1,Wheat
23,204,3,Wheat
18,99,2,Cotton
19,84,2,Cotton
31,250,2,Wheat
23,78,1,Cotton
32,200,1,Wheat
18,132,3,Rice
22,139,1,Rice
30,102,3,Maize
23,149,3,Rice
33,166,2,Rice
33,208,2,Wheat
32,233,2,Wheat
20,127,1,Maize
23,213,2,Wheat
20,196,1,Wheat
26,220,2,Wheat
36,166,3,Rice
30,212,2,Wheat
36,240,2,Wheat
35,122,1,Maize
29,152,3,Rice
21,140,2,Rice
22,99,1,Cotton
33,74,1,Cotton
32,238,1,Wheat
26,143,1,Rice
32,125,1,Maize
35,129,3,Maize
35,190,3,Wheat
21,105,3,Maize
31,155,2,Rice
33,112,2,Maize
36,174,2,Rice
20,245,2,Wheat
30,84,2,Cotton
26,124,3,Maize
20,190,1,Wheat
27,234,1,Wheat
34,104,3,Maize
33,235,2,Wheat
33,157,1,Rice
20,111,1,Maize
29,222,1,Wheat
31,196,2,Wheat
35,217,1,Wheat
27,203,2,Wheat
23,221,2,Wheat
22,206,3,Wheat
22,106,3,Maize
20,115,3,Maize
30,90,2,Cotton
34,141,3,Rice
23,213,2,Wheat
20,177,2,Rice
31,249,1,Wheat
24,152,1,Rice
33,87,2,Cotton
29,197,2,Wheat
32,118,3,Maize
23,189,1,Wheat
22,204,1,Wheat
29,155,1,Rice
18,123,3,Maize
26,225,1,Wheat
22,143,2,Rice
36,237,3,Wheat
28,249,3,Wheat
24,232,2,Wheat
30,86,3,Cotton
23,243,1,Wheat
26,212,1,Wheat
34,71,3,Cotton
30,212,2,Wheat
33,136,3,Rice
20,93,3,Cotton
34,210,3,Wheat
25,172,3,Rice
20,165,1,Rice
21,237,2,Wheat
33,191,1,Wheat
32,169,2,Rice
25,99,1,Cotton
24,94,2,Cotton
20,134,3,Rice
19,165,2,Rice
29,111,1,Maize
32,145,3,Rice
34,125,1,Maize
18,205,1,Wheat
22,78,2,Cotton
36,185,1,Wheat
22,164,3,Rice
25,142,2,Rice
34,211,2,Wheat
36,214,3,Wheat
31,154,2,Rice
35,242,3,Wheat
27,105,1,Maize
20,73,3,Cotton
20,203,1,Wheat
30,179,1,Rice
34,82,2,Cotton
25,134,1,Rice
20,167,2,Rice
36,191,3,Wheat
28,94,2,Cotton
26,92,3,Cotton
34,240,1,Wheat
19,170,2,Rice
28,184,1,Wheat
30,219,2,Wheat
25,137,1,Rice
23,80,1,Cotton
18,107,2,Maize
36,151,3,Rice
18,86,1,Cotton
19,107,2,Maize
20,170,2,Rice
31,148,1,Rice
21,105,2,Maize
24,123,2,Maize
28,210,2,Wheat
19,161,3,Rice
25,237,2,Wheat
33,82,1,Cotton
35,186,3,Wheat
21,137,2,Rice
18,74,1,Cotton
29,92,2,Cotton
19,93,1,Cotton
23,134,3,Rice
21,137,2,Rice
36,124,1,Maize
36,101,3,Maize
33,235,2,Wheat
35,149,3,Rice
32,227,3,Wheat
26,98,1,Cotton
23,179,3,Rice
36,185,1,Wheat
21,101,1,Maize
26,113,3,Maize
30,113,1,Maize
